Year,Period,Label,Value,Month,Date,State
2020,M10,2020 Oct,5.9,10,2020-10-01,Georgia
2020,M11,2020 Nov,5.6,11,2020-11-01,Georgia
2020,M12,2020 Dec,5.3,12,2020-12-01,Georgia
2021,M01,2021 Jan,5.1,01,2021-01-01,Georgia
2021,M02,2021 Feb,4.8,02,2021-02-01,Georgia
2021,M03,2021 Mar,4.5,03,2021-03-01,Georgia
2021,M04,2021 Apr,4.3,04,2021-04-01,Georgia
2021,M05,2021 May,4.1,05,2021-05-01,Georgia
2021,M06,2021 Jun,4.0,06,2021-06-01,Georgia
2021,M07,2021 Jul,3.7,07,2021-07-01,Georgia
2021,M08,2021 Aug,3.5,08,2021-08-01,Georgia
2021,M09,2021 Sep,3.2,09,2021-09-01,Georgia
2019,M01,2019 Jan,2.7,01,2019-01-01,Hawaii
2019,M02,2019 Feb,2.7,02,2019-02-01,Hawaii
2019,M03,2019 Mar,2.6,03,2019-03-01,Hawaii
2019,M04,2019 Apr,2.6,04,2019-04-01,Hawaii
2019,M05,2019 May,2.5,05,2019-05-01,Hawaii
2019,M06,2019 Jun,2.5,06,2019-06-01,Hawaii
2019,M07,2019 Jul,2.5,07,2019-07-01,Hawaii
2019,M08,2019 Aug,2.4,08,2019-08-01,Hawaii
2019,M09,2019 Sep,2.3,09,2019-09-01,Hawaii
2019,M10,2019 Oct,2.2,10,2019-10-01,Hawaii
2019,M11,2019 Nov,2.1,11,2019-11-01,Hawaii
2019,M12,2019 Dec,2.1,12,2019-12-01,Hawaii
2020,M01,2020 Jan,2.0,01,2020-01-01,Hawaii
2020,M02,2020 Feb,2.1,02,2020-02-01,Hawaii
2020,M03,2020 Mar,2.1,03,2020-03-01,Hawaii
2020,M04,2020 Apr,21.9,04,2020-04-01,Hawaii
2020,M05,2020 May,21.9,05,2020-05-01,Hawaii
2020,M06,2020 Jun,14.1,06,2020-06-01,Hawaii
2020,M07,2020 Jul,14.1,07,2020-07-01,Hawaii
2020,M08,2020 Aug,14.1,08,2020-08-01,Hawaii
2020,M09,2020 Sep,14.8,09,2020-09-01,Hawaii
2020,M10,2020 Oct,14.0,10,2020-10-01,Hawaii
2020,M11,2020 Nov,10.3,11,2020-11-01,Hawaii
2020,M12,2020 Dec,10.3,12,2020-12-01,Hawaii
2021,M01,2021 Jan,10.3,01,2021-01-01,Hawaii
2021,M02,2021 Feb,9.2,02,2021-02-01,Hawaii
2021,M03,2021 Mar,9.1,03,2021-03-01,Hawaii
2021,M04,2021 Apr,8.5,04,2021-04-01,Hawaii
2021,M05,2021 May,8.0,05,2021-05-01,Hawaii
2021,M06,2021 Jun,7.7,06,2021-06-01,Hawaii
2021,M07,2021 Jul,7.3,07,2021-07-01,Hawaii
2021,M08,2021 Aug,7.0,08,2021-08-01,Hawaii
2021,M09,2021 Sep,6.6,09,2021-09-01,Hawaii
2019,M01,2019 Jan,2.9,01,2019-01-01,Idaho
2019,M02,2019 Feb,2.9,02,2019-02-01,Idaho
2019,M03,2019 Mar,2.8,03,2019-03-01,Idaho
2019,M04,2019 Apr,2.8,04,2019-04-01,Idaho
2019,M05,2019 May,2.8,05,2019-05-01,Idaho
2019,M06,2019 Jun,2.8,06,2019-06-01,Idaho
2019,M07,2019 Jul,2.8,07,2019-07-01,Idaho
2019,M08,2019 Aug,2.8,08,2019-08-01,Idaho
2019,M09,2019 Sep,2.7,09,2019-09-01,Idaho
2019,M10,2019 Oct,2.7,10,2019-10-01,Idaho
2019,M11,2019 Nov,2.6,11,2019-11-01,Idaho
2019,M12,2019 Dec,2.5,12,2019-12-01,Idaho
2020,M01,2020 Jan,2.6,01,2020-01-01,Idaho
2020,M02,2020 Feb,2.6,02,2020-02-01,Idaho
2020,M03,2020 Mar,2.7,03,2020-03-01,Idaho
2020,M04,2020 Apr,11.6,04,2020-04-01,Idaho
2020,M05,2020 May,8.3,05,2020-05-01,Idaho
2020,M06,2020 Jun,7.0,06,2020-06-01,Idaho
2020,M07,2020 Jul,5.9,07,2020-07-01,Idaho
2020,M08,2020 Aug,4.9,08,2020-08-01,Idaho
2020,M09,2020 Sep,6.0,09,2020-09-01,Idaho
2020,M10,2020 Oct,4.8,10,2020-10-01,Idaho
2020,M11,2020 Nov,4.3,11,2020-11-01,Idaho
2020,M12,2020 Dec,3.8,12,2020-12-01,Idaho
2021,M01,2021 Jan,3.5,01,2021-01-01,Idaho
2021,M02,2021 Feb,3.3,02,2021-02-01,Idaho
2021,M03,2021 Mar,3.2,03,2021-03-01,Idaho
2021,M04,2021 Apr,3.1,04,2021-04-01,Idaho
2021,M05,2021 May,3.0,05,2021-05-01,Idaho
2021,M06,2021 Jun,3.0,06,2021-06-01,Idaho
2021,M07,2021 Jul,3.0,07,2021-07-01,Idaho
2021,M08,2021 Aug,2.9,08,2021-08-01,Idaho
2021,M09,2021 Sep,2.9,09,2021-09-01,Idaho
2019,M01,2019 Jan,4.5,01,2019-01-01,Illinois
2019,M02,2019 Feb,4.5,02,2019-02-01,Illinois
2019,M03,2019 Mar,4.4,03,2019-03-01,Illinois
2019,M04,2019 Apr,4.2,04,2019-04-01,Illinois
2019,M05,2019 May,4.1,05,2019-05-01,Illinois
2019,M06,2019 Jun,4.0,06,2019-06-01,Illinois
2019,M07,2019 Jul,3.9,07,2019-07-01,Illinois
2019,M08,2019 Aug,3.8,08,2019-08-01,Illinois
2019,M09,2019 Sep,3.7,09,2019-09-01,Illinois
2019,M10,2019 Oct,3.6,10,2019-10-01,Illinois
2019,M11,2019 Nov,3.5,11,2019-11-01,Illinois
2019,M12,2019 Dec,3.5,12,2019-12-01,Illinois
2020,M01,2020 Jan,3.5,01,2020-01-01,Illinois
2020,M02,2020 Feb,3.6,02,2020-02-01,Illinois
2020,M03,2020 Mar,3.7,03,2020-03-01,Illinois
2020,M04,2020 Apr,16.5,04,2020-04-01,Illinois
2020,M05,2020 May,15.4,05,2020-05-01,Illinois
2020,M06,2020 Jun,14.2,06,2020-06-01,Illinois
2020,M07,2020 Jul,12.0,07,2020-07-01,Illinois
2020,M08,2020 Aug,11.1,08,2020-08-01,Illinois
